,GM,FA,MD,RD,AD,V1
0,3rd Ventricle,0.3059,0.3577,0.3615,0.3639,0.3541
1,4th Ventricle,0.6275,0.2439,0.2498,0.2418,0.3612
2,Right Accumbens Area,1.2346,0.8588,0.5998,1.2344,1.3929
3,Left Accumbens Area,0.5882,0.7156,0.7013,0.723,0.8515
4,Right Amygdala,1.4345,0.7082,0.6951,0.7348,1.4002
5,Left Amygdala,1.3887,0.363,0.4126,0.2796,1.3395
6,Brain Stem,0.3226,0.2017,0.2086,0.2022,0.2567
7,Right Caudate,2.3555,0.6329,0.5314,0.8895,2.4955
8,Left Caudate,1.9111,0.5746,0.5016,0.7527,1.8057
9,Right Cerebellum Exterior,3.3171,0.7498,0.8865,0.5561,2.045
10,Left Cerebellum Exterior,2.2216,0.5452,0.6818,0.3817,1.1723
11,Right Cerebellum White Matter,1.3944,0.2671,0.2977,0.3776,0.9544
12,Left Cerebellum White Matter,0.7714,0.2798,0.2976,0.3164,0.6082
13,Right Cerebral White Matter,3.9447,1.5294,1.501,1.6892,3.3948
14,Left Cerebral White Matter,2.9285,1.4006,1.3988,1.4929,2.7846
15,Right Hippocampus,1.2007,0.4832,0.5175,0.4508,1.0213
16,Left Hippocampus,0.7047,0.2044,0.2024,0.2168,0.6984
17,Right Inf Lat Vent,0.7995,0.7622,0.7834,0.7313,1.0003
18,Left Inf Lat Vent,1.7990000000000002,0.3998,0.3479,0.494,1.0399
19,Right Lateral Ventricle,1.0151,0.5854,0.546,0.6811,1.1195
20,Left Lateral Ventricle,0.8654,0.6306,0.6141,0.7086,0.9181
21,Right Pallidum,1.0678,0.4401,0.4486,0.4428,1.8246
22,Left Pallidum,0.358,0.2101,0.1953,0.254,0.3906
23,Right Putamen,0.8441,0.6367,0.7486,0.5589,1.3677
24,Left Putamen,0.9548,0.3894,0.3364,0.4719,1.266
25,Right Thalamus Proper,0.3373,0.2799,0.2643,0.3314,0.2916
26,Left Thalamus Proper,0.3707,0.3292,0.3402,0.3403,0.2761
27,Right Ventral DC,0.4888,0.2234,0.2522,0.1921,0.363
28,Left Ventral DC,0.2064,0.11599999999999999,0.1223,0.1181,0.215
29,Cerebellar Vermal Lobules I-V,0.8644,0.2461,0.2575,0.2285,0.6156
30,Cerebellar Vermal Lobules VI-VII,2.5444,0.5612,0.6364,0.4331,1.9669999999999999
